"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","tal",,,,"User:","paul"
"Cmdline:","pcp-dstat -tcdr --output metrics-20240801-17:42:46.csv",,,,"Date:","01 Aug 2024 17:42:46 PDT"
"system","total usage",,,,,"dsk/total",,"io/total",
01-08 17:43:41,1.167,0.333,97.827,0.500,0,0,255.985,0,24.999
01-08 17:43:42,0.500,0.250,98.541,0.083,0,0,43.981,0,9.996
01-08 17:43:43,0.917,0.417,98.209,0.250,0,0,72.031,0,14.006
01-08 17:43:44,2.917,0.583,96.249,0.083,0,0,12.000,0,6.000
01-08 17:43:45,1.083,0.250,97.750,0.333,0,0,84.000,0,25.000
01-08 17:43:46,2.416,0.750,95.979,0.333,0,0,223.951,0,11.997
01-08 17:43:47,2.000,1.083,97.089,0.167,0,0,56.003,0,14.001
01-08 17:43:48,3.000,0.833,95.849,0.333,0,0,228.036,0,23.004
01-08 17:43:49,0.833,0.917,96.740,0.333,0,0,111.989,0,24.998
01-08 17:43:50,0.417,0.417,98.575,0,0,0,91.992,0,21.998
01-08 17:43:51,2.834,3.168,93.441,0.583,0,0,264.070,0,33.009
01-08 17:43:52,3.586,2.585,93.481,0.167,0,0,24.016,0,9.006
01-08 17:43:53,0.583,0.250,98.175,0.167,0,0,79.939,0,20.984
01-08 17:43:54,1.833,0.750,96.917,0.167,0,0,20.000,0,8.000
01-08 17:43:55,0.833,0.417,98.079,0.333,0,0,123.995,0,32.999
01-08 17:43:56,0.750,0.333,98.241,0,0,0,0,0,0
01-08 17:43:57,1.167,0.667,97.428,0.333,0,0,76.009,0,16.002
01-08 17:43:58,2.917,0.750,96.082,0.083,0,0,28.000,0,9.000
01-08 17:43:59,0.917,0.750,97.341,0.333,0,0,120.009,0,26.002
01-08 17:44:00,1.166,0.583,97.314,0.083,0,0,59.988,0,17.996
01-08 17:44:01,1.500,1.084,96.269,0.167,0,0,56.011,0,14.003
01-08 17:44:02,1.750,0.333,97.227,0,0,0,0,0,0
01-08 17:44:03,1.167,0.750,97.523,0.250,0,0,44.010,0,15.004
01-08 17:44:04,0.833,0.167,97.830,0.167,0,0,35.999,0,7.000
01-08 17:44:05,1.333,0.167,98.084,0.250,0,0,64.000,0,24.000
01-08 17:44:06,0.833,1.083,97.502,0.250,0,0,524.012,0,23.001
01-08 17:44:07,2.250,0.417,96.583,0.250,0,0,88,0,26
01-08 17:44:08,1.000,1.167,96.915,0.417,0,0,159.997,0,20.000
01-08 17:44:09,1.166,0.500,97.234,0.500,0,0,87.985,0,16.997
01-08 17:44:10,0.917,0.583,98.584,0,0,0,28.000,0,9.000
01-08 17:44:11,13.169,1.417,84.013,0.333,0,648.100,332.051,49.008,24.004
01-08 17:44:12,31.582,3.250,62.664,1.583,0,155.994,5995.778,8.000,272.990
01-08 17:44:13,7.251,2.167,85.257,5.417,0,0,3352.278,0,774.064
01-08 17:44:14,5.088,1.335,87.495,5.255,0,0,3495.132,0,746.669
01-08 17:44:15,5.911,1.082,86.423,5.745,0,0,3512.874,0,777.308
01-08 17:44:16,2.167,1.000,93.910,2.083,0,35.997,1223.909,4.000,278.979
01-08 17:44:17,1.250,0.500,98.257,0.167,0,0,356.026,0,9.001
01-08 17:44:18,1.000,0.750,97.659,0.083,0,0,355.973,0,23.998
01-08 17:44:19,1.000,0.750,97.584,0.250,0,0,100.001,0,21.000
01-08 17:44:20,0.833,0.333,98.173,0.083,0,0,344.022,0,29.002
01-08 17:44:21,0.833,0.167,98.502,0.250,0,0,52.001,0,11.000
01-08 17:44:22,1.000,0.583,97.097,0.250,0,0,376.051,0,48.007
01-08 17:44:23,1.416,0.666,97.714,0,0,0,263.904,0,3.999
01-08 17:44:24,0.750,0.250,98.351,0.333,0,0,72.013,0,21.004
01-08 17:44:25,1.667,0.417,97.747,0.083,0,0,359.988,0,16.999
01-08 17:44:26,0.583,0.500,98.172,0.167,0,0,384.022,0,81.005
01-08 17:44:27,1.250,0.500,97.809,0.250,0,0,335.916,0,9.997
01-08 17:44:28,1.750,0.833,96.685,0.167,0,0,424.081,0,42.008
01-08 17:44:29,1.916,1.250,96.651,0.250,0,0,55.991,0,20.997
01-08 17:44:30,1.250,0.667,97.264,0.500,0,0,692.102,0,55.008
01-08 17:44:31,0.583,0.333,98.668,0,0,0,256.004,0,21.000
01-08 17:44:32,0.750,0.250,97.750,0.583,0,0,367.999,0,31.000
01-08 17:44:33,1.667,0.583,97.414,0.083,0,0,287.992,0,26.999
01-08 17:44:34,1.500,0.333,97.500,0.333,0,0,331.999,0,48.000
01-08 17:44:35,0.750,0.583,98.415,0,0,0,0,0,0
01-08 17:44:36,8.667,0.750,89.669,0.333,0,0,3176.073,0,109.003
01-08 17:44:37,20.160,2.249,75.643,0.500,0,0,1147.642,0,40.987
01-08 17:44:38,1.417,1.084,97.282,0.167,0,0,216.072,0,16.005
01-08 17:44:39,1.750,1.167,96.508,0.250,0,0,80.007,0,26.002
01-08 17:44:40,1.250,0.417,97.825,0.250,0,0,363.970,0,22.998
01-08 17:44:41,0.750,0.667,97.430,0.583,0,0,364.050,0,102.014
01-08 17:44:42,1.250,0.750,97.560,0.333,0,0,311.925,0,29.993
01-08 17:44:43,0.667,0.500,98.761,0.083,0,0,256.244,0,19.018
01-08 17:44:44,1.249,0.583,97.083,0.333,0,0,75.934,0,22.980
01-08 17:44:45,0.667,0.417,98.417,0.167,0,0,60,0,17
01-08 17:44:46,0.834,0.083,98.234,0.334,0,0,336.229,0,35.024
01-08 17:44:47,0.750,0.333,98.185,0.167,0,0,575.616,0,69.953
01-08 17:44:48,1.333,0.833,97.497,0.250,0,0,79.997,0,15.000
01-08 17:44:49,2.083,0.583,96.166,0.250,0,0,419.995,0,27.000
01-08 17:44:50,0.750,0.583,98.421,0.167,0,0,88.004,0,15.001
01-08 17:44:51,0.583,0.583,98.497,0.083,0,0,59.998,0,17.999
01-08 17:44:52,1.584,1.417,95.863,0.250,0,0,404.127,0,44.014
01-08 17:44:53,2.999,3.749,93.053,0.167,0,0,103.966,0,1.999
01-08 17:44:54,1.083,0.750,97.756,0.250,0,0,68.004,0,20.001
01-08 17:44:55,0.667,0.333,98.412,0,0,0,0,0,0
01-08 17:44:56,1.083,0.583,97.586,0.417,0,0,340.010,0,36.001
01-08 17:44:57,0.667,0.750,97.830,0.083,0,0,187.994,0,24.999
01-08 17:44:58,2.500,0.750,96.086,0.250,0,0,96.002,0,17.000
01-08 17:44:59,0.917,0.417,97.731,0.500,0,0,272.180,0,37.024
01-08 17:45:00,1.249,0.749,97.330,0.333,0,0,87.922,0,25.977
01-08 17:45:01,2.917,1.000,96.105,0,0,0,0,0,0
01-08 17:45:02,2.333,1.167,95.585,0.167,0,0,392.005,0,37.001
01-08 17:45:03,3.083,1.000,95.332,0.167,0,0,59.999,0,2.000
01-08 17:45:04,2.500,1.333,95.342,0.250,0,0,128.012,0,39.004
01-08 17:45:05,3.833,1.417,94.824,0.083,0,0,255.976,0,9.999
01-08 17:45:06,3.584,1.250,94.422,0.250,0,0,176.010,0,24.001
01-08 17:45:07,3.500,1.083,94.578,0.250,0,0,2035.878,0,248.985
01-08 17:45:08,3.000,1.917,93.423,0.667,0,0,228.016,0,21.001
01-08 17:45:09,2.417,1.167,95.250,0.167,0,0,312,0,26
01-08 17:45:10,6.500,2.083,90.165,0.250,0,0,111.998,0,16.000
01-08 17:45:11,4.083,1.750,94.168,0.167,0,0,1688.032,0,90.002
01-08 17:45:12,3.583,1.583,93.911,0.250,0,0,6067.606,0,285.981
01-08 17:45:13,2.167,1.250,95.839,0,0,0,32.002,0,1.000
01-08 17:45:14,3.583,1.000,94.332,0.167,0,0,231.997,0,24.000
01-08 17:45:15,2.417,1.083,95.329,0.167,0,0,467.978,0,30.999
01-08 17:45:16,1.916,0.500,96.486,0.500,0,0,799.882,0,25.996
01-08 17:45:17,0.917,0.500,98.511,0.083,0,0,36.004,0,11.001
01-08 17:45:18,1.000,1.000,97.008,0.333,0,0,348.027,0,33.003
01-08 17:45:19,3.833,1.000,94.495,0.250,0,0,271.987,0,64.997
01-08 17:45:20,2.167,1.000,96.493,0.167,0,0,79.994,0,13.999
01-08 17:45:21,0.833,0.250,98.160,0.250,0,0,351.976,0,16.999
